ANACAPA,ANACAPA
ANACAPA BIKE RACKS,ANACAPA
ANACAPA EXT,ANACAPA
ANACAPA HALL,ANACAPA
ANACAPA RACKS,ANACAPA
ANACAPA RES HALL,ANACAPA
ANACAPA RES HALL BIKE RACKS,ANACAPA
LOT 9,ANACAPA
PARKING LOT 2,ANACAPA
ARBOR,SOUTHHALL
ARBOR RACK,SOUTHHALL
ARBOR RACKS,SOUTHHALL
ARROWHEAD RACKS,ARROWHEAD
ARROWHEAD VILAGE,ARROWHEAD
ARROWHEAD VILLAGE,ARROWHEAD
ARROWHEAD VILLAGE BIKE RACKS BY STRUCTURE 50,ARROWHEAD
ARROWHEAD VILLAGE RACKS,ARROWHEAD
"ART MUSEUM, RACKS",ARTS
ARTS,ARTS
ARTS BLDG,ARTS
ARTS LIBRARY RACKS,ARTS
ARTS RACKS,ARTS
"ARTS, RACKS",ARTS
AS BIKE SHOP,ASBIKESHOP
ASSOCIATED STUDENTS BICYCLE SHOP IFO,ASBIKESHOP
BIO 2,BIOII
BIO RACKS,BIOII
BRADBURY O/S,BRADBURY
BRADBURY VILLAGE,BRADBURY
BRADBURY VILLAGE BIKE RACKS,BRADBURY
BRADBURY VILLAGE RACKS,BRADBURY
LOT 51,BRADBURY
"SAN CLEMENTE, BRADBURY, SAN CLEMENTE - RACKS",BRADBURY
BREN,BREN
BREN SCHOOL,BREN
BREN SCHOOL BIKE RACKS NEAR PL01,BREN
BROIDA,BROIDA
BROIDA HALL,BROIDA
BROIDA HALL RACKS,BROIDA
BROIDA HALL RACKS NEAR TRAILERS NEXT TO,BROIDA
BROIDA RACKS,BROIDA
BUCHANAN,BUCHANAN
BUCHANAN ROOM 1910,BUCHANAN
BUS LOOP,BUSLOOP
BUS LOOP RACK,BUSLOOP
BUS LOOP RACKS,BUSLOOP
"BUS LOOP, RACKS",BUSLOOP
CAESER STADIUM,CAESERSTADIUM
CAMPBELL,CAMPBELL
CAMPBELL HALL,CAMPBELL
CAMPBELL HALL BIKE RACK AT CAMPBELL HALL,CAMPBELL
CAMPBELL HALL RACKS,CAMPBELL
"CAMPBELL HALL, RACKS",CAMPBELL
CAMPBELL RACKS,CAMPBELL
LOT 12,CAMPBELL
CARILLO COMMONS RACKS,CARRILLO
CARRILLO,CARRILLO
CARRILLO COMMONS,CARRILLO
CARRILLO COMMONS O/S,CARRILLO
CARRILLO COMMONS RACK,CARRILLO
CARRILLO DINING COMMONS,CARRILLO
CARRILLO DINING COMMONS RACKS,CARRILLO
CASTAIC VILLAGE,CASTAIC
CASTAIC VILLAGE BIKE,CASTAIC
CASTIAC VILLAGE,CASTAIC
SAN CLEMENTE (CASTIAC) RACKS,CASTAIC
"SAN CLEMENTE, CASTIAC VILLAGE",CASTAIC
CHEMISTRY,CHEMISTRY
CHEMISTRY RACKS,CHEMISTRY
CHEMISTRY BIKE RACKS,CHEMISTRY
CHEMISTRY FROM LOT 11,CHEMISTRY
CHEMISTRY IFO,CHEMISTRY
CHEMISTRY RACKS,CHEMISTRY
CNSI - CALIF. NANO SY,CNSI
LOT 10,CNSI
COUNSELING AND CAREER,COUNSELINGCAREER
CREATIVE STUDIES,CREATIVESTUDIES
LOT 32,CSOOFFICE
"DEANZA, MANZANITA",DEANZA
DE LA GUERRA,DLG
DE LA GUERRA WEST BIKE RACKS,DLG
DELAGUERRA,DLG
DELAGUERRA COMMONS,DLG
DELAGUERRA RACKS,DLG
DLG,DLG
DLG RACKS,DLG
DONNER QUAD RACKS,DONNER
DONNER RACKS,DONNER
DONNER VILLAGE,DONNER
DONNER VILLAGE 4111,DONNER
DONNER VILLAGE RACKS,DONNER
LOT 52,DONNER
SAN CLEMENTE BIKE RACKS NEAR DONNER,DONNER
EAST GATE,EASTGATE
EL DORADO,ELDORADO
EL DORADO RACKS,ELDORADO
"EL DORADO, RACKS",ELDORADO
EL EMBARCADERO TOP OF THE LOOP,EMBARCADERO
EMBARCADERO HALL,EMBARCADERO
EMBARCADERO HALL 945,EMBARCADERO
EMBARCADERO HALL RACKS,EMBARCADERO
ENCINO VILLAGE,ENCINO
ENCINO VILLAGE RACKS,ENCINO
"ENCINO VILLAGE, MANZ",ENCINO
LOT 53,ENCINO
SAN CLEMENTE (ENCINO VILLAGE) RACKS,ENCINO
"SAN CLEMENTE, ENCINO",ENCINO
"SAN CLEMENTE, ENCINO VILLAGE",ENCINO
ENG 1,ENGI
ENG I,ENGI
ENG 2 RACKS,ENGII
ENG II,ENGII
ENGINEERING 2,ENGII
ENGINEERING 2 RACKS,ENGII
ENGINEERING II,ENGII
ENGINEERING II RACKS,ENGII
ENGINERING 2,ENGII
MATERIAL RESEARCH LAB,ENGII
MATERIAL RESEARCH LAB ENG2,ENGII
EVENT CENTER,EVENTSCENTER
EVENT CENTER RACKS,EVENTSCENTER
EVENTS CENTER,EVENTSCENTER
LOT 22,EVENTSCENTER
PARKING STRUCTURE 22,EVENTSCENTER
PS 22,EVENTSCENTER
PS 22 RACKS,EVENTSCENTER
GGSE,GGSESSMS
GGSE RACKS,GGSESSMS
SSMS,GGSESSMS
SSMS RACKS,GGSESSMS
GIRVETZ,GIRVETZ
GIRVETZ RACKS,GIRVETZ
"GIRVETZ, RACKS",GIRVETZ
HARDER STADIUM,HARDERSTADIUM
HARDER STADIUM RACKS,HARDERSTADIUM
HARDER STADIUM/ MEREDITH FIELD STOLEN BICYCLE,HARDERSTADIUM
HARDER STADIUM/ MEREDITH FIELD,HARDERSTADIUM
LOT 38,HARDERSTADIUM
LOT 38 RACKS,HARDERSTADIUM
HSSB,HSSB
HSSB BIKE RACK,HSSB
HSSB BIKE RACKS,HSSB
HSSB NR 1124,HSSB
HSSB RACKS,HSSB
HSSB,HSSB
"HSSB, ROOM #1236",HSSB
"INTERCOLLEGATE ATHLETICS, RACKS",INTERCOLLEGIATEATHLETICS
IV THEATRE,ISLAVISTATHEATER
IV THEATRE BIKE RACKS,ISLAVISTATHEATER
IV THEATRE RACKS,ISLAVISTATHEATER
ISLA VISTA FOOT PATROL FRONT COUNTER,IVFOOTPATROL
DAVIDSON LIBRARY,LIBRARY
DAVIDSON LIBRARY BIKE RACKS,LIBRARY
DAVIDSON LIBRARY DAVIDSON BIKE RACKS,LIBRARY
DAVIDSON LIBRARY RACK,LIBRARY
DAVIDSON LIBRARY RACKS,LIBRARY
DAVIDSON LIBRARY WEST SIDE,LIBRARY
"DAVIDSON LIBRARY, RACKS",LIBRARY
LIBRARY,LIBRARY
LIBRARY QUAD,LIBRARY
LIBRARY RACKS,LIBRARY
LOT 3 RACKS,LIBRARY
TRAILER 335,LIBRARY
LOMA PALOMA RACKS,LOMAPELONACENTER
"LOMA PALOMA, MANZANITA",LOMAPELONACENTER
MESA RD LOT 17,LOT17
LOT 30,LOT30
LOT 30 RACKS,LOT30
LIFE SCIENCES BLDG.,LSB
MANZ RACKS,MANZANITA
MANZANITA RACKS,MANZANITA
MANZANITA VILLAGE,MANZANITA
MANZANITA VILLAGE BIKE RACKS,MANZANITA
MANZANITA VILLAGE RACKS,MANZANITA
LOT 6,MARINEBIOTECHNOLOGYLABORATORY
LOWER MSI - MSI BEACH BIKE RACKS,MARINEBIOTECHNOLOGYLABORATORY
MARINE SCIENCES BLDG,MARINESCIENCEBUILDING
MSI BEACH,MARINESCIENCEBUILDING
MCC RACKS,MCC
MUSIC,MUSIC
MUSIC N/S RACKS,MUSIC
MUSIC RACKS,MUSIC
"MUSIC, RACKS",MUSIC
NOBLE HALL,NOBLEHALL
NORTH HALL,NORTHHALL
NORTH HALL BUS LOOP BIKE RACKS,NORTHHALL
NORTH HALL RACKS,NORTHHALL
ORTEGA COMMONS,ORTEGA
ORTEGA DINING COMMONS,ORTEGA
ORTEGA RACKS,ORTEGA
PHELPS,PHELPS
PHELPS HALL,PHELPS
PHELPS HALL BIKE RACK,PHELPS
PHELPS HALL RACKS,PHELPS
PHELPS RACKS,PHELPS
POLLOCK THEATRE,POLLOCKTHEATER
POLLOCK THEATRE RACKS,POLLOCKTHEATER
PSB NORTH,PSB
PSB NORTH,PSB
"PSB NORTH, RACKS",PSB
PSB SOUTH,PSB
PSYCHOLOGY,PSYCHOLOGY
PSYCHOLOGY ADDITION RACKS,PSYCHOLOGY
PSYCHOLOGY RACKS,PSYCHOLOGY
"ARGUELLA, LAS ENCINAS QUAD (MANZANITA) RACKS",Q1
"ARGUELLO, LAS ENCINAS QUAD (MANZANITA) RACKS",Q1
"CIENEGA, LAS ENCINAS",Q1
"JAMALA, MANZANITA",Q1
MANZANITA VILLAGE BIKE RACKS NEAR ARGUELLO HOUSE,Q1
"MIRANDA, LAS ENCINAS",Q1
"MIRANDA, LAS ENCINAS BIKE RACKS",Q1
"MIRANDA, LAS ENCINAS QUAD",Q1
TECOLOTE,Q1
TECOLOTE EXTERIOR RACKS,Q1
TECOLOTE HOUSE,Q1
"TECOLOTE, LAS ENCINAS QUAD",Q1
CONDOR EXTERIOR RACKS,Q2
"CONDOR, LA PATERA",Q2
GAVIOTA HOUSE,Q2
GAVIOTA HOUSE (LA PATERA) RACKS,Q2
"LA CUMBRE, LA PATERA QUAD RACKS",Q2
MANZANITA VILLAGE BIKE RACKS NEXT TO RINCON HOUSE,Q2
"RINCON HOUSE, MANZANITA",Q2
"RINCON, LA PATERA QUAD INTERIOR BIKE RACK",Q2
TEPUSQUET RACKS,Q2
"TEPUSQUET, LA PATERA",Q2
"CAMUESA, LOS ROBLES QUAD",Q3
CUYAMA EXTERIOR BIKE RACK,Q3
CUYAMA HOUSE,Q3
"CUYAMA HOUSE, MANZANITA",Q3
CUYAMA. LOS ROBLES,Q3
"FIGUEROA, LOS ROBLES QUAD",Q3
"FIGUEROA, LOS ROBLOS QUAD, MANZANITA RACKS",Q3
LA PATERA QUAD RACKS,Q3
"MADULCE, LOS ROBLES",Q3
"MADULCE, LOS ROBLES QUAD",Q3
PENDOLA RACKS,Q3
"PENDOLA, LOS ROBLES QUAD",Q3
"PENDOLS, LOS ROBLES",Q3
ZACA HOUSE,Q3
"ZACA HOUSE, MANZANITA",Q3
LA PATERA RACKS,Q4
ECEN,RECREATIONCENTER
ECEN RACKS,RECREATIONCENTER
REC CEN,RECREATIONCENTER
REC CEN RACKS,RECREATIONCENTER
REC-CENTER,RECREATIONCENTER
REC-CENTER BIKE RACK,RECREATIONCENTER
REC-CENTER RACKS,RECREATIONCENTER
RECCEN,RECREATIONCENTER
RECCEN RACKS,RECREATIONCENTER
RECCEN TRACK,RECREATIONCENTER
RECREATION CENTER,RECREATIONCENTER
ROB GYM,ROBERTSONGYM
ROB GYM RACKS,ROBERTSONGYM
ROBERTSON GYM,ROBERTSONGYM
LOT 15,SAASB
SAASB,SAASB
SAASB BIKE RACKS,SAASB
SAASB NORTH,SAASB
SAASB RACKS,SAASB
SAN CLEMENTE,SANCLEMENTE
SAN CLEMENTE BIKE RACKS,SANCLEMENTE
SAN CLEMENTE OUTSIDE #2113,SANCLEMENTE
SAN CLEMENTE RACKS,SANCLEMENTE
SAN CLEMENTE STRUCTURE (BLDG 50) RM STORAGE AREA,SANCLEMENTE
"SAN CLEMENTE, RACKS",SANCLEMENTE
"SAN CLEMENTE, RACKS IFO",SANCLEMENTE
SAN JOAQUIN BIKE RACKS,SANJOAQUIN
SAN JOAQUIN RACKS,SANJOAQUIN
SAN MIGUEL,SANMIGUEL
SAN MIGUEL EXTERIOR RACKS,SANMIGUEL
SAN MIGUEL RACKS,SANMIGUEL
SAN MIGUEL RES HALL BIKE RACKS,SANMIGUEL
SAN MIGUEL RES HALL RACKS,SANMIGUEL
"SAN MIGUEL, RACKS",SANMIGUEL
SAN MIGURL RACKS,SANMIGUEL
SANMIGUEL RACKS,SANMIGUEL
SAN NIC,SANNICOLAS
SAN NIC RACKS,SANNICOLAS
"SAN NIC, IFO",SANNICOLAS
"SAN NIC, RACKS",SANNICOLAS
SAN NICOLAS,SANNICOLAS
SAN NICOLAS RACKS,SANNICOLAS
SAN NICOLAS RES HALL,SANNICOLAS
SANNIC RACKS,SANNICOLAS
SAN RAF RACKS,SANRAFAEL
SAN RAFAEL,SANRAFAEL
SAN RAFAEL BIKE RACK,SANRAFAEL
SAN RAFAEL HALL,SANRAFAEL
SAN RAFAEL NEXT TO RACKS,SANRAFAEL
SAN RAFAEL RACK,SANRAFAEL
SAN RAFAEL RACKS,SANRAFAEL
SAN RAFAEL RES HALL TOWER,SANRAFAEL
SAN RAFAEL RES HALL TOWER BIKE RACKS,SANRAFAEL
SAN RAFAEL RES HALL TOWER RACKS,SANRAFAEL
"SAN RAFAEL, LOBBY",SANRAFAEL
"SAN RAFAEL, RACKS",SANRAFAEL
FT,SANTACATALINA
FT RACKS,SANTACATALINA
SAN CAT RACKS,SANTACATALINA
SANTA CATALINA,SANTACATALINA
SANTA CATALINA,SANTACATALINA
SANTA CATALINA (FT),SANTACATALINA
SANTA CATALINA (FT) 10217 S TOWER,SANTACATALINA
SANTA CATALINA (FT) BIKE RACK NEAR PORTOLA DINING COMMONS,SANTACATALINA
SANTA CATALINA (FT) NORTH TOWER ROOM 5433,SANTACATALINA
SANTA CATALINA (FT) RACKS OUTSIDE NORTH TOWER,SANTACATALINA
SANTA CATALINA (FT) RACKS,SANTACATALINA
SANTA CATALINA BIKE RACKS,SANTACATALINA
SANTA CATALINA FT,SANTACATALINA
SANTA CATALINA RACKS,SANTACATALINA
"SANTA CATALINA, BIKE RACK",SANTACATALINA
"SANTA CATALINA, RACKS",SANTACATALINA
S. CRUZ RACK,SANTACRUZ
SANTA CRUZ,SANTACRUZ
SANTA CRUZ BIKE RACKS,SANTACRUZ
SANTA CRUZ HALL,SANTACRUZ
SANTA CRUZ RACK,SANTACRUZ
SANTA CRUZ RACKS,SANTACRUZ
SANTA CRUZ RES HALL,SANTACRUZ
SANTA CRUZ RES HALL RACKS,SANTACRUZ
PARKING LOT 9,SANTAROSA
SANTA ROSA,SANTAROSA
SANTA ROSA RACKS,SANTAROSA
SANTA ROSA RACKS,SANTAROSA
SANTA ROSA RES HALL BIKE RACKS,SANTAROSA
SANTA YNEX RACKS,SANTAYNEZ
SANTA YNEZ,SANTAYNEZ
SANTA YNEZ APT.,SANTAYNEZ
SANTA YNEZ APT. #427,SANTAYNEZ
SANTA YNEZ APT. RACKS,SANTAYNEZ
SANTA YNEZ APT.S,SANTAYNEZ
SANTA YNEZ APTS.,SANTAYNEZ
SANTA YNEZ RACKS,SANTAYNEZ
"SANTA YNEZ, O/S #302",SANTAYNEZ
SSH SANTA YNEZ APARTMENTS UNIT 125,SANTAYNEZ
SSH SANTA YNEZ APARTMENTS,SANTAYNEZ
SSH SANTA YNEZ APARTMENTS IFO 250,SANTAYNEZ
SSH SANTA YNEZ APARTMENTS #427,SANTAYNEZ
SSH SANTA YNEZ APARTMENTS BIKE RACKS,SANTAYNEZ
SSH SANTA YNEZ APARTMENTS 208,SANTAYNEZ
SYA,SANTAYNEZ
SYA RACKS,SANTAYNEZ
SYA IFO,SANTAYNEZ
SYA O/S,SANTAYNEZ
SYA O/S 138,SANTAYNEZ
SYA RACK,SANTAYNEZ
SYA RACKS,SANTAYNEZ
SIERRA MADRE - STAFF,SIERRAMADRE
SIERRA MADRE - STAFF APTS NORTH BIKE RACKS,SIERRAMADRE
SIERRA MADRE VILLAGE,SIERRAMADRE
SIERRA MADRE VILLAGE (STUDENTS),SIERRAMADRE
SIERRA MADRE VILLAGE (STUDENTS) TOLUCA HOUSE,SIERRAMADRE
BLDG 300,SOUTHHALL
KERR,SOUTHHALL
SOUTHHALL,SOUTHHALL
SOUTHHALL RACKS,SOUTHHALL
"SOUTHHALL, RACK",SOUTHHALL
SOUTH HALL,SOUTHHALL
SOUTH HALL BIKE RACKS,SOUTHHALL
SOUTH HALL RACKS,SOUTHHALL
SOUTH HALL SOUTH HALL/ANNEX,SOUTHHALL
STORKE FIELD,STORKEFIELD
"797 SEQUOIA WLK, IFO",STORKEHOUSING
BIRCH WALK,STORKEHOUSING
CYPRESS WALK,STORKEHOUSING
CYPRESS WALK 794 APART H,STORKEHOUSING
FSH,STORKEHOUSING
FSH STORKE FAMILY HOUSING,STORKEHOUSING
FSH STORKE FAMILY HOUSING 771 D,STORKEHOUSING
FSH STORKE FAMILY HOUSING 783,STORKEHOUSING
FSH STORKE FAMILY HOUSING 763,STORKEHOUSING
FSH STORKE FAMILY HOUSING 773 UNIT H,STORKEHOUSING
"FSH STORKE FAMILY HOUSING 798, RACKS",STORKEHOUSING
JUNIPER WALK RACKS,STORKEHOUSING
LAUREL WALK,STORKEHOUSING
MADRONA WALK,STORKEHOUSING
"MADRONNA WALK, STORKE FAMILY HOUSING",STORKEHOUSING
OAK WALK,STORKEHOUSING
SFH O/S JUNIPER WALK,STORKEHOUSING
STORKE FAMILY HOUSING,STORKEHOUSING
STORKE FAMILY HSING PATIO,STORKEHOUSING
STORKE FAMILY HSNG,STORKEHOUSING
STORKE FAMILY HSNG RACKS,STORKEHOUSING
STORKE FH RACKS,STORKEHOUSING
STORKE HOUSING IFO,STORKEHOUSING
STORKE HOUSING (SEQUO,STORKEHOUSING
STORKE HOUSING RACKS,STORKEHOUSING
"STORKE HOUSING, BIRCH",STORKEHOUSING
"WCFH, RACKS IFO 787 LAUREL WLK",STORKEHOUSING
STORKE TOWER,STORKETOWER
STUDENT HEALTH,STUDENTHEALTH
STUDENT HEALTH BICYCLE RACKS,STUDENTHEALTH
STUDENT HEALTH RACKS,STUDENTHEALTH
SRB,THEATERANDDANCE
SRB RACKS,THEATERANDDANCE
STUDENT RESOURCE BLDG,THEATERANDDANCE
STUDENT RESOURCE BLDG.,THEATERANDDANCE
STUDENT RESOURCE BLDG AREA OF SAN NICHOLAS HALL,THEATERANDDANCE
STUDENT RESOURCE BLDG RACKS,THEATERANDDANCE
STUDENT RESOURCE BUIL,THEATERANDDANCE
STUDENT RESOURCES BLDG.,THEATERANDDANCE
THEATER & DANCE BIKE RACKS,THEATERANDDANCE
THEATER & DANCE RACK,THEATERANDDANCE
THEATRE & DANCE,THEATERANDDANCE
THEATRE & DANCE RACKS,THEATERANDDANCE
THUNDERDOME,THEATERANDDANCE
EMB DEL NORTE MADRID,TROPICANADELNORTE
TROPICANA DEL NORTE,TROPICANADELNORTE
TROPICANA DEL NORTE BIKE RACKS,TROPICANADELNORTE
TROPICANA DEL NORTE EXTERIOR BIKE RACK,TROPICANADELNORTE
TROPICANA DEL NORTE RACKS AT REAR OF STRUCTURE,TROPICANADELNORTE
TROPICANA GARDENS,TROPICANAGARDENS
TROPICANA VILLAS,TROPICANAVILLAS
UCEN,UCEN
UCEN O/S,UCEN
UCEN RACK,UCEN
UCEN RACKS,UCEN
UCPD,UCPD
UCPD IMPOUND YARD,UCPD
WEBB HALL,WEBB
WEBB HALL RACKS,WEBB
BOLTON WALK,WESTCAMPUS
ELKUS WALK RACKS,WESTCAMPUS
FSH WEST CAMPUS FAMILY HOUSING RACKS NEAR 734,WESTCAMPUS
FSH WEST CAMPUS FAMILY HOUSING,WESTCAMPUS
FSH WEST CAMPUS FAMILY HOUSING 705 APT 204,WESTCAMPUS
"FSH WEST CAMPUS FAMILY HOUSING 716, #104",WESTCAMPUS
FSH WEST CAMPUS FAMILY HOUSING 708 BOLTON WALK,WESTCAMPUS
FSH WEST CAMPUS FAMILY HOUSING RACKS NEXT TO BLD 714,WESTCAMPUS
GALEY WALK IFO APT,WESTCAMPUS
"GAYLEY WALK, WEST CAMPUS FAMILY HOUSING",WESTCAMPUS
IFO WEST CAMPUS FAMILY HOUSING,WESTCAMPUS
WCFH RACKS,WESTCAMPUS
"GAYLEY WALK, WEST CAMPUS FAMILY HOUSING",WESTCAMPUS
WEST CAMPUS FH,WESTCAMPUS
WEST CAMPUS FH RACKS,WESTCAMPUS
WEST CAMPUS HOUSING,WESTCAMPUS
WEST CAMPUS STABLES,WESTCAMPUS
O/S WESTGATE APTS.,WESTGATE
WESTGATE APT.,WESTGATE
WESTGATE APTS.,WESTGATE
WESTWIND RACKS,WESTWINDS
WESTWINDS APT. RACKS,WESTWINDS
WOODHOUSE LAB,WOODHOUSELAB
WOODHOUSE LAB RACK,WOODHOUSELAB
WOODHOUSE LABS,WOODHOUSELAB
